pathology,support_positive,support_negative,precision,recall,f1,specificity,roc_auc,pr_auc,tn,fp,fn,tp
Infiltration,637,1277,0.44976076555023925,0.5902668759811617,0.5105227427019687,0.6397807361002349,0.6446488962430343,0.47677252434875184,817,460,261,376
Effusion,595,1319,0.47533632286995514,0.7126050420168067,0.570275722932078,0.645185746777862,0.7326393180471583,0.5494352807133515,851,468,171,424
Atelectasis,557,1357,0.4039167686658507,0.59245960502693,0.48034934497816595,0.6411201179071481,0.6606094603551768,0.4128024905756015,870,487,227,330
Pneumothorax,494,1420,0.4497422680412371,0.7064777327935222,0.5496062992125984,0.6992957746478873,0.7613060956834121,0.5526419537092636,993,427,145,349
