pathology,support_positive,support_negative,precision,recall,f1,specificity,roc_auc,pr_auc,tn,fp,fn,tp
Infiltration,637,1277,0.3954588457899716,0.6562009419152276,0.4935064935064935,0.49960845732184805,0.6202785915281721,0.4427489265844055,638,639,219,418
Effusion,595,1319,0.33717404487568226,0.934453781512605,0.49554367201426025,0.17134192570128887,0.657504730474449,0.4459200928673408,226,1093,39,556
Atelectasis,557,1357,0.3272854152128402,0.8420107719928187,0.471356783919598,0.2896094325718497,0.623316297302768,0.371265968808387,393,964,88,469
Pneumothorax,494,1420,0.3264,0.8259109311740891,0.46788990825688076,0.4070422535211268,0.6919897930090666,0.4563388537349944,578,842,86,408
