pathology,support_positive,support_negative,precision,recall,f1,specificity,roc_auc,pr_auc,tn,fp,fn,tp
Infiltration,637,1277,0.46027742749054223,0.5729984301412873,0.5104895104895105,0.6648394675019577,0.6496129443886464,0.5089119160249946,849,428,272,365
Effusion,595,1319,0.5333333333333333,0.6453781512605042,0.5840304182509506,0.7452615617892343,0.7578188212358484,0.5773532230396676,983,336,211,384
Atelectasis,557,1357,0.39738430583501005,0.7091561938958707,0.5093488072211476,0.5585851142225498,0.6857083888448618,0.4583764133154554,758,599,162,395
Pneumothorax,494,1420,0.46941489361702127,0.7145748987854251,0.5666131621187801,0.7190140845070423,0.7871842390374637,0.5843648008697779,1021,399,141,353
