pathology,support_positive,support_negative,precision,recall,f1,specificity,roc_auc,pr_auc,tn,fp,fn,tp
Infiltration,637,1277,0.4699599465954606,0.5525902668759811,0.5079365079365079,0.6891151135473766,0.6463048082916076,0.5064606354819126,880,397,285,352
Effusion,595,1319,0.4470468431771894,0.7378151260504202,0.5567533291058973,0.5883244882486732,0.7329221908626984,0.5413148890311033,776,543,156,439
Atelectasis,557,1357,0.4033203125,0.7414721723518851,0.5224541429475016,0.5497420781134856,0.699049677911858,0.4751306842871361,746,611,144,413
Pneumothorax,494,1420,0.4811715481171548,0.6983805668016194,0.5697770437654831,0.7380281690140845,0.7844984889091635,0.5796834801485417,1048,372,149,345
