pathology,support_positive,support_negative,precision,recall,f1,specificity,roc_auc,pr_auc,tn,fp,fn,tp
Infiltration,637,1277,0.4292237442922374,0.5902668759811617,0.4970257766027759,0.6084573218480814,0.6404199894523197,0.48575313703714884,777,500,261,376
Effusion,595,1319,0.45098039215686275,0.6957983193277311,0.5472571050892266,0.6178923426838514,0.7163741311535987,0.5146252349782262,815,504,181,414
Atelectasis,557,1357,0.3973305954825462,0.6947935368043088,0.5055519268451992,0.5674281503316139,0.6747683730480558,0.44350800121190725,770,587,170,387
Pneumothorax,494,1420,0.46326836581709147,0.6255060728744939,0.5322997416020672,0.747887323943662,0.7530421394765353,0.5144837385108173,1062,358,185,309
