pathology,support_positive,support_negative,precision,recall,f1,specificity,roc_auc,pr_auc,tn,fp,fn,tp
Infiltration,637,1277,0.39836660617059894,0.6891679748822606,0.5048878665899943,0.480814408770556,0.6428227215227998,0.48264089698196283,614,663,198,439
Effusion,595,1319,0.38184663536776214,0.8201680672268907,0.5210891617725574,0.40106141015921154,0.6872051019042947,0.46629446743034164,529,790,107,488
Atelectasis,557,1357,0.3967136150234742,0.6068222621184919,0.47977288857345635,0.6212232866617539,0.6539923979525011,0.4162772516024964,843,514,219,338
Pneumothorax,494,1420,0.37875,0.6133603238866396,0.46831530139103555,0.65,0.6828277356446371,0.4155772780755208,923,497,191,303
